Title,ReleaseDate,ProductionCompany
Wings,1927-08-12,Paramount Famous Lasky Corporation
The Racket,1928-11-01,The Caddo Company
The Racket,1928-11-01,Paramount Pictures
7th Heaven,1927-05-06,Fox Film Corporation
Sunrise: A Song of Two Humans,1927-11-04,Fox Film Corporation
Chang: A Drama of the Wilderness,1927-04-29,Famous Players?Lasky Corporation
Chang: A Drama of the Wilderness,1927-04-29,Paramount Famous Lasky Corporation
Chang: A Drama of the Wilderness,1927-04-29,Paramount Pictures
The Crowd,1928-02-28,Metro-Goldwyn-Mayer
Two Arabian Knights,1927-09-23,United Artists
The Circus,1928-01-06,United Artists
Speedy,1928-04-07,Paramount Pictures
Sorrell and Son,1927-11-12,United Artists
The Last Command,1928-01-22,Paramount Famous Lasky Corp.
The Last Command,1928-01-22,Paramount Pictures
The Noose,1928-01-29,First National Pictures
A Ship Comes In,1928-01-04,Path? Exchange
Sadie Thompson,1928-01-07,United Artists
Underworld,1927-08-20,Paramount Pictures
Glorious Betsy,1928-04-26,Warner Bros. Pictures
The Jazz Singer,1927-10-06,Warner Bros. Pictures
The Jazz Singer,1927-10-06,The Vitaphone Corporation
The Dove,1927-12-31,United Artists
Tempest,1928-05-27,United Artists
The Devil Dancer,1927-11-19,Samuel Goldwyn Productions
The Devil Dancer,1927-11-19,United Artists
The Magic Flame,1927-09-18,Samuel Goldwyn Productions
The Magic Flame,1927-09-18,United Artists
The Private Life of Helen of Troy,1927-12-09,First National Pictures
The Broadway Melody,1929-02-01,Metro-Goldwyn-Mayer
Alibi,1929-04-20,United Artists
The Hollywood Revue of 1929,1929-06-20,Metro-Goldwyn-Mayer
In Old Arizona,1928-12-25,Fox Film Corporation
The Patriot,1928-08-17,Paramount Pictures
The Divine Lady,1928-12-26,First National Pictures
The Divine Lady,1928-12-26,Warner Bros.
Drag,1929-07-21,First National Pictures
Drag,1929-07-21,Warner Bros. Pictures
Madame X,1929-08-17,Metro-Goldwyn-Mayer
Weary River,1929-02-10,First National Pictures
Thunderbolt,1929-06-20,Paramount Pictures
The Valiant,1929-05-19,Fox Film Corporation
Coquette,1929-04-05,United Artists
The Barker,1928-12-09,First National Pictures
The Barker,1928-12-09,Warner Bros. Pictures
The Letter,1929-03-17,Paramount Pictures
The Cop,1928-08-20,DeMille Pictures Corporation
The Cop,1928-08-20,Path? Exchange
The Last of Mrs. Cheyney,1929-07-26,Metro-Goldwyn-Mayer
The Leatherneck,1929-02-24,Path? Exchange
Our Dancing Daughters,1928-09-01,Cosmopolitan Productions
Our Dancing Daughters,1928-09-01,Metro-Goldwyn-Mayer
Sal of Singapore,1928-11-04,Pathe Exchange
Skyscraper,1928-04-08,Path? Exchange
A Woman of Affairs,1928-12-15,Metro-Goldwyn-Mayer
Wonder of Women,1929-07-13,Metro-Goldwyn-Mayer
The Bridge of San Luis Rey,1929-03-30,Metro-Goldwyn-Mayer
The Awakening,1928-11-17,Samuel Goldwyn Productions
The Awakening,1928-11-17,United Artists
Dynamite,1929-12-13,Metro-Goldwyn-Mayer
Dynamite,1929-12-13,Loew's Inc.
Street Angel,1928-04-09,Fox Film Corporation
White Shadows in the South Seas,1928-11-10,Cosmopolitan Productions
White Shadows in the South Seas,1928-11-10,Metro-Goldwyn-Mayer
4 Devils,1928-10-03,William Fox Studio
4 Devils,1928-10-03,Fox Film Corporation
All Quiet on the Western Front,1930-04-21,Universal Studios
All Quiet on the Western Front,1930-04-21,Universal Pictures
The Big House,1930-06-24,A Cosmopolitan Production
The Big House,1930-06-24,Metro-Goldwyn-Mayer
Disraeli,1929-11-01,Warner Bros.
The Divorcee,1930-04-19,Metro-Goldwyn-Mayer
The Love Parade,1929-11-19,Paramount Famous Lasky Corp.
Anna Christie,1930-02-21,Metro-Goldwyn-Mayer
Hallelujah,1929-08-20,A King Vidor Production
Hallelujah,1929-08-20,Metro-Goldwyn-Mayer
Romance,1930-08-22,Metro-Goldwyn-Mayer
The Green Goddess,1930-02-13,"Warner Bros. Pictures, Inc."
The Big Pond,1930-05-03,Paramount Pictures
Bulldog Drummond,1929-05-02,Samuel Goldwyn Productions
Bulldog Drummond,1929-05-02,United Artists
The Rogue Song,1930-01-28,Metro-Goldwyn-Mayer
The Rogue Song,1930-01-28,"Loew's, Inc."
The Devil's Holiday,1930-05-09,Paramount Pictures
Sarah and Son,1930-03-14,Paramount Pictures
Their Own Desire,1929-12-27,Metro-Goldwyn-Mayer
The Trespasser,1929-11-11,United Artists
Street of Chance,1930-02-08,Paramount Pictures
The Case of Sergeant Grischa,1930-03-23,RKO Radio Pictures
Raffles,1930-07-24,Samuel Goldwyn Productions
Raffles,1930-07-24,United Artists
Song of the Flame,1930-05-06,First National Pictures
King of Jazz,1930-04-19,Universal Pictures
Sally,1929-12-23,First National Pictures
Sally,1929-12-23,Warner Bros. Pictures
The Vagabond King,1930-02-17,Paramount Pictures
With Byrd at the South Pole,1930-06-19,Paramount Pictures
Hell's Angels,1930-05-27,(de)
Hell's Angels,1930-05-27,United Artists
Cimarron,1931-01-26,RKO Radio Pictures
East Lynne,1931-02-20,Fox Film Corporation
The Front Page,1931-04-04,United Artists
Skippy,1931-04-05,Paramount Pictures
Trader Horn,1931-02-03,Metro-Goldwyn-Mayer
A Free Soul,1931-06-02,Metro-Goldwyn-Mayer
A Free Soul,1931-06-02,Loew's Inc.
Morocco,1930-11-14,Paramount Pictures
Morocco,1930-11-14,Paramount Publix Corporation
The Royal Family of Broadway,1930-12-22,Paramount Pictures
Min and Bill,1930-11-29,Metro-Goldwyn-Mayer
Holiday,1930-07-03,Path? Exchange
The Dawn Patrol,1930-07-10,First National Pictures
The Doorway to Hell,1930-10-18,"Warner Bros. Pictures, Inc."
Laughter,1930-09-25,Paramount Pictures
The Public Enemy,1931-04-23,Warner Bros. Pictures
Smart Money,1931-07-11,Warner Bros.
The Criminal Code,1931-01-03,Columbia Pictures
Little Caesar,1931-01-09,First National Pictures
Little Caesar,1931-01-09,Warner Bros. Pictures
Just Imagine,1930-11-23,Fox Film Corporation
Whoopee,1930-09-30,Samuel Goldwyn Productions
Whoopee,1930-09-30,United Artists
Tabu: A Story of the South Seas,1931-03-18,Paramount Pictures
The Right to Love,1930-12-27,Paramount Pictures
Grand Hotel,1932-04-12,Metro-Goldwyn-Mayer
Grand Hotel,1932-04-12,"Loew's, Inc."
Arrowsmith,1931-12-07,Samuel Goldwyn Productions
Arrowsmith,1931-12-07,United Artists
Bad Girl,1931-08-14,Fox Film Corporation
The Champ,1931-11-09,Metro-Goldwyn-Mayer
Five Star Final,1931-09-26,First National Pictures
Five Star Final,1931-09-26,Warner Bros. Pictures
One Hour with You,1932-03-22,Paramount Pictures
Shanghai Express,1932-02-12,Paramount Pictures
The Smiling Lieutenant,1931-08-01,Paramount Pictures
Dr. Jekyll and Mr. Hyde,1931-12-24,Paramount Pictures
The Guardsman,1931-11-07,Metro-Goldwyn-Mayer
The Sin of Madelon Claudet,1931-10-24,Metro-Goldwyn-Mayer
Emma,1932-01-02,Metro-Goldwyn-Mayer
Lady and Gent,1932-07-15,Paramount Pictures
The Star Witness,1931-08-22,Warner Bros. Pictures
What Price Hollywood?,1932-06-02,RKO Path?
Transatlantic,1931-08-30,Fox Film Corporation
? nous la libert?,1931-12-18,Films Sonores Tobis
? nous la libert?,1931-12-18,Joseph Burstyn
Flowers and Trees,1932-07-30,Walt Disney Productions
Flowers and Trees,1932-07-30,United Artists
It's Got Me Again! (1932),1932-05-14,Harman-Ising Productions
It's Got Me Again! (1932),1932-05-14,Warner Bros. Pictures
It's Got Me Again! (1932),1932-05-14,The Vitaphone Corporation
Mickey's Orphans,1931-12-05,Walt Disney Productions
Mickey's Orphans,1931-12-05,Columbia Pictures
The Music Box,1932-04-16,Metro-Goldwyn-Mayer
Scratch-As-Catch-Can,1932-11-06,RKO Pictures
Wrestling Swordfish,1931-11-08,Educational Film Exchanges
Screen Souvenirs,1932-01-01,Paramount Pictures
Swing High,1932-11-12,MGM
Cavalcade,1933-04-15,Fox Film Corporation
42nd Street,1933-03-09,Warner Bros.
A Farewell to Arms,1932-12-08,Paramount Pictures
A Farewell to Arms,1932-12-08,Warner Bros. Pictures
I Am a Fugitive from a Chain Gang,1932-11-10,The Vitaphone Corporation
I Am a Fugitive from a Chain Gang,1932-11-10,Warner Bros.
Lady for a Day,1933-09-13,Columbia Pictures
Little Women,1933-11-16,RKO Radio Pictures
The Private Life of Henry VIII,1933-08-17,London Film Productions
The Private Life of Henry VIII,1933-08-17,United Artists
She Done Him Wrong,1933-01-27,Paramount Pictures
Smilin' Through,1932-09-24,Metro-Goldwyn-Mayer
State Fair,1933-02-10,Fox Film Corporation
Berkeley Square,1933-09-13,Fox Film Corporation
Morning Glory,1933-08-18,RKO Radio Pictures
One Way Passage,1932-10-22,Warner Bros.
The Prizefighter and the Lady,1933-11-10,MGM
Rasputin and the Empress,1932-12-23,Metro-Goldwyn-Mayer
Rasputin and the Empress,1932-12-23,Loew's Inc.
