FName,MName,LName,Title,ReleaseDate,Role
William,A.,Wellman,Wings,1927-08-12,Director
Titles:Julian,,Johnson,Wings,1927-08-12,Writter
Hope,,Loring,Wings,1927-08-12,Screenwriter
Louis,D.,Lighton,Wings,1927-08-12,Screenwriter
Lucien,,Hubbard,Wings,1927-08-12,Producer
Adolph,,Zukor,Wings,1927-08-12,Producer
Jesse,L.,Lasky,Wings,1927-08-12,Producer
B.,P.,Schulberg,Wings,1927-08-12,Producer
Otto,Hermann,Kahn,Wings,1927-08-12,Producer
Clara,,Bow,Wings,1927-08-12,Actor
Charles,"""Buddy""",Rogers,Wings,1927-08-12,Actor
Richard,,Arlen,Wings,1927-08-12,Actor
Jobyna,,Ralston,Wings,1927-08-12,Actor
Harry,,Perry,Wings,1927-08-12,Cinematographer
John,Stepan,Zamecnik,Wings,1927-08-12,Composer
Lewis,,Milestone,The Racket,1928-11-01,Director
Bartlett,,Cormack,The Racket,1928-11-01,Writter
Tom,,Miranda,The Racket,1928-11-01,Writter
Harry,,Behn,The Racket,1928-11-01,Writter
Howard,,Hughes,The Racket,1928-11-01,Producer
Thomas,,Meighan,The Racket,1928-11-01,Actor
Marie,,Prevost,The Racket,1928-11-01,Actor
Louis,,Wolheim,The Racket,1928-11-01,Actor
Tony,,Gaudio,The Racket,1928-11-01,Cinematographer
Frank,,Borzage,7th Heaven,1927-05-06,Director
H.,H.,Caldwell,7th Heaven,1927-05-06,Writter
Katherine,,Hilliker,7th Heaven,1927-05-06,Writter
Bernard,,Vorhaus,7th Heaven,1927-05-06,Writter
Benjamin,,Glazer,7th Heaven,1927-05-06,Screenwriter
William,,Fox,7th Heaven,1927-05-06,Producer
Janet,,Gaynor,7th Heaven,1927-05-06,Actor
Charles,,Farrell,7th Heaven,1927-05-06,Actor
Ben,,Bard,7th Heaven,1927-05-06,Actor
Ernest,,Palmer,7th Heaven,1927-05-06,Cinematographer
Joseph,,Valentine,7th Heaven,1927-05-06,Cinematographer
F.,W.,Murnau,Sunrise: A Song of Two Humans,1927-11-04,Director
Carl,,Mayer,Sunrise: A Song of Two Humans,1927-11-04,Screenwriter
William,,Fox,Sunrise: A Song of Two Humans,1927-11-04,Producer
Janet,,Gaynor,Sunrise: A Song of Two Humans,1927-11-04,Actor
George,,O'Brien,Sunrise: A Song of Two Humans,1927-11-04,Actor
Charles,,Rosher,Sunrise: A Song of Two Humans,1927-11-04,Cinematographer
Karl,,Struss,Sunrise: A Song of Two Humans,1927-11-04,Cinematographer
Hugo,,Riesenfeld,Sunrise: A Song of Two Humans,1927-11-04,Composer
Merian,C.,Cooper,Chang: A Drama of the Wilderness,1927-04-29,Director
Ernest,B.,Schoedsack,Chang: A Drama of the Wilderness,1927-04-29,Director
Achmed,,Abdullah,Chang: A Drama of the Wilderness,1927-04-29,Writter
Hugo,,Riesenfeld,Chang: A Drama of the Wilderness,1927-04-29,Composer
